"fr","en"
"Je m'en vais dormir","I am going to sleep"
"Allons ensemble à la chasse","let us go hunting together"
"Dînons ensemble","let us dine together"
"Pourrais-je rester chez vous cette nuit ?","May I stay with you to-night ?"
"Combien voulez vous de cela ?","How much of this do you wish ?"
"C'est trop cher","It is too dear"
"Tu es avare","you are stingy"
"Je vous remercie","I thank you"
"Va-t-en","get out"
"Tous les hommes mourront","All men will die"
"Connais-tu le bon Dieu ?","Dost thou know God ?"
"Je ne le connais pas","I do not know him"
"Je le connais","I know him"
"Etes-vous de la prière ?","Do you belong to the prayer ?"
"Pourquoi ne pries-tu pas Dieu ?","Why dost thou not pray to God?"
"Etes-vous baptisé ?","Are you baptised?"
"Mais c'est inutile, parce qu'il ne prie pas Dieu","But it is useless because he does not pray to God"
"Ne pensez-vous pas à la mort?","Do you not think of death?"
"Il ne faut point s'enivrer","You must not get drunk"
"Je suis blanc, rouge, jaune","I am white, red, yellow"
"Je suis noir, bleu, vert","I am black, blue, green"
"Notre père faites nous la charité","Our father do us the charity"
"Qu'as tu a vendre?","What have you to sell"
"Une paire de souliers","a pair of shoes"
"Il ne m'a rien donné","he has given me nothing"
